"MES";"CONTADOR";"CONTADOR_TIPO";"CONTADOR_SENTIDO";"ZONA";"NUMERO";"TRIMESTRE";"YEAR"
2019-08-01;"Aurizberri-Espinal ";"Peatones";"Santiago de Compostela";"Camino de Santiago";7353;"2019-3";2019
2019-08-01;"Aurizberri-Espinal ";"Bicicletas";"Santiago de Compostela";"Camino de Santiago";566;"2019-3";2019
2019-08-01;"Puente la Reina-Gares";"Peatones";"Santiago de Compostela";"Camino de Santiago";6895;"2019-3";2019
2019-08-01;"Puente la Reina-Gares";"Bicicletas";"Santiago de Compostela";"Camino de Santiago";33;"2019-3";2019
2019-08-01;"Puente la Reina-Gares";"Coches";"Santiago de Compostela";"Camino de Santiago";96;"2019-3";2019
2019-08-01;"Monreal";"Peatones";"Santiago de Compostela";"Camino de Santiago";2795;"2019-3";2019
2019-08-01;"Urederra";"Peatones";"Ida";"Recursos turístico ";17038;"2019-3";2019
2019-08-01;"Las Roscas";"Peatones";"Ida";"Recursos turístico ";481;"2019-3";2019
2019-08-01;"Xorroxin";"Peatones";"Vuelta";"Recursos turístico ";9993;"2019-3";2019
2019-08-01;"Amaiur";"Peatones";"Ida";"Recursos turístico ";12219;"2019-3";2019
2019-09-01;"Vía Verde Bidasoa (Doneztebe)";"Peatones";"Doneztebe - Pamplona";"Vías Verdes - Eurovelo";3270;"2019-3";2019
2019-09-01;"Vía Verde Bidasoa (Doneztebe)";"Bicicletas";"Doneztebe - Pamplona";"Vías Verdes - Eurovelo";1398;"2019-3";2019
2019-09-01;"Vía Verde Bidasoa (Doneztebe)";"Coches";"Doneztebe - Gipuzkoa";"Vías Verdes - Eurovelo";1172;"2019-3";2019
2019-09-01;"Vía Verde Plazaola (Lekunberri)";"Peatones";"Lekunberri - Gipuzkoa";"Vías Verdes - Eurovelo";2940;"2019-3";2019
2019-09-01;"Vía Verde Plazaola (Lekunberri)";"Bicicletas";"Lekunberri - Gipuzkoa";"Vías Verdes - Eurovelo";542;"2019-3";2019
2019-09-01;"Via Verde Vasco-Navarro (Ancín)";"Peatones";"Ancín - Estella";"Vías Verdes - Eurovelo";5061;"2019-3";2019
2019-09-01;"Via Verde Vasco-Navarro (Ancín)";"Bicicletas";"Ancín - Álava";"Vías Verdes - Eurovelo";390;"2019-3";2019
2019-09-01;"Via Verde Vasco-Navarro (Ancín)";"Coches";"Ancín - Álava";"Vías Verdes - Eurovelo";337;"2019-3";2019
2019-09-01;"Via Verde Tarazonica (Cascante)";"Peatones";"Cascante - Aragón";"Vías Verdes - Eurovelo";1449;"2019-3";2019
2019-09-01;"Via Verde Tarazonica (Cascante)";"Bicicletas";"Cascante - Aragón";"Vías Verdes - Eurovelo";395;"2019-3";2019
2019-09-01;"Vía Verde Irati (Foz Lumbier)";"Peatones";"Lumbier - Liédena";"Vías Verdes - Eurovelo";9609;"2019-3";2019
2019-09-01;"Vía Verde Irati (Foz Lumbier)";"Bicicletas";"Lumbier - Liédena";"Vías Verdes - Eurovelo";380;"2019-3";2019
2019-09-01;"Aurizberri-Espinal ";"Peatones";"Santiago de Compostela";"Camino de Santiago";9401;"2019-3";2019
2019-09-01;"Aurizberri-Espinal ";"Bicicletas";"Santiago de Compostela";"Camino de Santiago";631;"2019-3";2019
2019-09-01;"Puente la Reina-Gares";"Peatones";"Santiago de Compostela";"Camino de Santiago";10915;"2019-3";2019
2019-09-01;"Puente la Reina-Gares";"Bicicletas";"Santiago de Compostela";"Camino de Santiago";98;"2019-3";2019
2019-09-01;"Puente la Reina-Gares";"Coches";"Santiago de Compostela";"Camino de Santiago";122;"2019-3";2019
2019-09-01;"Monreal";"Peatones";"Santiago de Compostela";"Camino de Santiago";1810;"2019-3";2019
2019-09-01;"Urederra";"Peatones";"Ida";"Recursos turístico ";9205;"2019-3";2019
2019-09-01;"Las Roscas";"Peatones";"Ida";"Recursos turístico ";423;"2019-3";2019
2019-09-01;"Xorroxin";"Peatones";"Vuelta";"Recursos turístico ";3736;"2019-3";2019
2019-09-01;"Amaiur";"Peatones";"Ida";"Recursos turístico ";9229;"2019-3";2019
2019-10-01;"Vía Verde Bidasoa (Doneztebe)";"Peatones";"Doneztebe - Pamplona";"Vías Verdes - Eurovelo";2527;"2019-4";2019
2019-10-01;"Vía Verde Bidasoa (Doneztebe)";"Bicicletas";"Doneztebe - Pamplona";"Vías Verdes - Eurovelo";872;"2019-4";2019
2019-10-01;"Vía Verde Bidasoa (Doneztebe)";"Coches";"Doneztebe - Gipuzkoa";"Vías Verdes - Eurovelo";1399;"2019-4";2019
2019-10-01;"Vía Verde Plazaola (Lekunberri)";"Peatones";"Lekunberri - Gipuzkoa";"Vías Verdes - Eurovelo";2574;"2019-4";2019
2019-10-01;"Vía Verde Plazaola (Lekunberri)";"Bicicletas";"Lekunberri - Gipuzkoa";"Vías Verdes - Eurovelo";345;"2019-4";2019
2019-10-01;"Via Verde Vasco-Navarro (Ancín)";"Peatones";"Ancín - Estella";"Vías Verdes - Eurovelo";789;"2019-4";2019
2019-10-01;"Via Verde Vasco-Navarro (Ancín)";"Bicicletas";"Ancín - Álava";"Vías Verdes - Eurovelo";390;"2019-4";2019
